id,title,year,rating
755045,Cirkus,2022,4.2
1014214,Singham Again,2024,0
105025,Dil Ka Rishta,2003,6.4
1216735,Angry Young Man,2023,0
1216714,Out Of Time,2023,0
1216709,Dry Day,2023,0
1174363,Mankhurd,2023,0
143844,Dostana,1980,5.9
220495,Bullett Raja,2013,5.7
21466,Mera Naam Joker,1970,7.5
78263,In Custody,1994,4.3
16566,Ab Tak Chhappan,2004,7.3
157800,Har Dil Jo Pyar Karega,2000,5.6
362140,Shaandaar,2015,4.5
25519,Pardes,1997,6.7
21184,Hungama,2003,6.8
644712,Street Dancer 3D,2020,7.1
168243,Zila Ghaziabad,2013,4.2
22443,Vaada Raha... I Promise,2009,8.5
824744,Shiddat,2021,7.8
460508,Munna Michael,2017,6.1
403858,Budhia Singh: Born to Run,2016,6
814430,The Relationship Manager,2020,8
170241,Deewana Main Deewana,2013,4.9
576121,Total Dhamaal,2019,5.4
784651,Fighter,2024,0
205212,Bewafaa,2005,4.8
27641,Tridev,1989,6.1
287637,Tigers,2014,7.2
21555,Socha Na Tha,2005,6.1
287767,Mardaani,2014,6.6
19616,New York,2009,6.3
734819,London Confidential,2020,4.5
312809,Tevar,2015,5.3
173735,Ram Teri Ganga Maili,1985,7
29888,Dulha Mil Gaya,2010,5.2
43971,Aaina,1993,8
83382,Players,2012,5.1
46383,Dus Kahaniyaan,2007,4.5
277229,Taarzan: The Wonder Car,2004,5.4
146270,Vaastav,1999,7.3
56317,Lajja,2001,7
774098,Nail Polish,2021,6.5
272420,Bobby Jasoos,2014,5.6
658075,Hungama 2,2021,5.4
585862,Romeo Akbar Walter,2019,6.4
